Image_ID,Modality,Model,Prompt,Dice,HD95,ASD
0,Color1_000762,Colour,ST-SAM,YOLO_Box,0.9302534461021423,4.224707126617432,1.2616928815841675
0,Color1_000113,Colour,ST-SAM,GT_Box,0.8450422883033752,6.7082037925720215,1.721996545791626
0,Color1_000113,Colour,ST-SAM,YOLO_Box,0.8221930861473083,10.770329475402832,1.638958215713501
0,Color1_000748,Colour,ST-SAM,GT_Box,0.9395049810409546,9.486832618713379,2.3430328369140625
0,Color1_000748,Colour,ST-SAM,YOLO_Box,0.913602888584137,13.00576114654541,3.086106061935425
0,Color1_000491,Colour,ST-SAM,GT_Box,0.9282567501068115,7.0,1.7137866020202637
0,Color1_000491,Colour,ST-SAM,YOLO_Box,0.9309577941894531,7.0,1.5895837545394897
0,Color1_000597,Colour,ST-SAM,GT_Box,0.817958414554596,10.38243293762207,3.065662384033203
0,Color1_000597,Colour,ST-SAM,YOLO_Box,0.8228554129600525,9.848857879638672,2.899475336074829
0,Color1_000661,Colour,ST-SAM,GT_Box,0.9495217204093933,7.0,0.9067757725715637
0,Color1_000661,Colour,ST-SAM,YOLO_Box,0.9466670155525208,7.071067810058594,1.1390668153762817
0,Color1_000677,Colour,ST-SAM,GT_Box,0.9195480942726135,3.0,0.7974197268486023
0,Color1_000677,Colour,ST-SAM,YOLO_Box,0.9043546915054321,4.123105525970459,0.8408908843994141
0,Color1_000789,Colour,ST-SAM,GT_Box,0.9458802342414856,6.7082037925720215,1.6235955953598022
0,Color1_000789,Colour,ST-SAM,YOLO_Box,0.9231361746788025,11.689537048339844,2.973506212234497
0,Color1_000760,Colour,ST-SAM,GT_Box,0.9503324627876282,2.8284270763397217,0.967866837978363
0,Color1_000760,Colour,ST-SAM,YOLO_Box,0.9259018301963806,12.467238426208496,2.5904252529144287
0,Color1_000530,Colour,ST-SAM,GT_Box,0.9244397282600403,2.0,0.7176845073699951
0,Color1_000530,Colour,ST-SAM,YOLO_Box,0.8741533160209656,28.00800132751465,0.6877089142799377
0,Color1_000121,Colour,ST-SAM,GT_Box,0.9263789057731628,5.830951690673828,1.1388254165649414
0,Color1_000121,Colour,ST-SAM,YOLO_Box,0.8657755851745605,98.88377380371094,12.269562721252441
0,Color1_000693,Colour,ST-SAM,GT_Box,0.9536599516868591,4.4721360206604,1.1691789627075195
0,Color1_000693,Colour,ST-SAM,YOLO_Box,0.9296541810035706,9.258509635925293,2.826738119125366
0,Color1_000403,Colour,ST-SAM,GT_Box,0.9254292845726013,4.4721360206604,1.3945631980895996
0,Color1_000403,Colour,ST-SAM,YOLO_Box,0.737846851348877,112.93891143798828,17.109453201293945
0,Color1_000184,Colour,ST-SAM,GT_Box,0.9132799506187439,11.0,0.8539438247680664
0,Color1_000184,Colour,ST-SAM,YOLO_Box,0.8593268990516663,41.887298583984375,4.428231716156006
0,Color1_000034,Colour,ST-SAM,GT_Box,0.9016901254653931,5.099019527435303,1.486849308013916
0,Color1_000034,Colour,ST-SAM,YOLO_Box,0.8902518153190613,6.4031243324279785,1.511950135231018
0,Color1_000807,Colour,ST-SAM,GT_Box,0.9334362745285034,6.0,1.3425508737564087
0,Color1_000807,Colour,ST-SAM,YOLO_Box,0.9286494255065918,6.7082037925720215,1.4174948930740356
0,Color1_000699,Colour,ST-SAM,GT_Box,0.9494324922561646,3.0,0.889244556427002
0,Color1_000699,Colour,ST-SAM,YOLO_Box,0.9177122712135315,10.944513320922852,2.7747232913970947
0,Color1_000668,Colour,ST-SAM,GT_Box,0.8632500171661377,17.326438903808594,2.216928243637085
0,Color1_000668,Colour,ST-SAM,YOLO_Box,0.7000400424003601,107.91067504882812,0.8945276141166687
0,Color1_000100,Colour,ST-SAM,GT_Box,0.9278644323348999,3.1622776985168457,0.6097493171691895
0,Color1_000100,Colour,ST-SAM,YOLO_Box,0.8721418380737305,30.957950592041016,3.644697666168213
0,Color1_000325,Colour,ST-SAM,GT_Box,0.9373157620429993,3.1622776985168457,1.0247925519943237
0,Color1_000325,Colour,ST-SAM,YOLO_Box,0.9308788776397705,5.385164737701416,1.0379633903503418
0,Color1_000657,Colour,ST-SAM,GT_Box,0.9240991473197937,3.6647281646728516,1.1692962646484375
0,Color1_000657,Colour,ST-SAM,YOLO_Box,0.9098079800605774,5.141948223114014,1.268810749053955
0,Color1_000306,Colour,ST-SAM,GT_Box,0.9466070532798767,7.071067810058594,1.6140356063842773
0,Color1_000306,Colour,ST-SAM,YOLO_Box,0.9417870044708252,8.5440034866333,1.744016408920288
0,Color1_000123,Colour,ST-SAM,GT_Box,0.9421858787536621,3.361729145050049,0.9199010133743286
0,Color1_000123,Colour,ST-SAM,YOLO_Box,0.941840410232544,3.1622776985168457,0.9439186453819275
0,Color1_000045,Colour,ST-SAM,GT_Box,0.9296149015426636,6.0,1.2379660606384277
0,Color1_000045,Colour,ST-SAM,YOLO_Box,0.9135919809341431,7.0,2.124969005584717
0,Color1_000155,Colour,ST-SAM,GT_Box,0.934156596660614,2.8284270763397217,0.7581189870834351
0,Color1_000155,Colour,ST-SAM,YOLO_Box,0.9345417022705078,2.8284270763397217,0.7435658574104309
