Fold,Model,Padding,Image_ID,Modality,Dice,IoU,Recall,Precision,HD95,ASD
0,ST-SAM,-5,Color1_000029,Colour,0.9166737198829651,0.8461658954620361,0.8539760176038201,0.9893072563526496,3.605551242828369,0.8549398183822632
0,ST-SAM,-5,Color1_000465,Colour,0.9269834756851196,0.8639041781425476,0.88329140732932,0.9752229205543617,4.0,0.8398167490959167
0,ST-SAM,-5,Color1_000381,Colour,0.9508167505264282,0.906244695186615,0.931016455452438,0.9714775560844898,8.028013229370117,1.7020618915557861
0,ST-SAM,-5,Color1_000109,Colour,0.915867269039154,0.8447924852371216,0.8639484085109251,0.9744251524343481,6.11358642578125,1.2799217700958252
0,ST-SAM,-5,Color1_000467,Colour,0.9074217081069946,0.830532431602478,0.84347086341751,0.9818654452570486,6.7082037925720215,1.5881832838058472
0,ST-SAM,-5,Color1_000066,Colour,0.8809404373168945,0.7872149348258972,0.8807930399129335,0.8810878660350554,11.0,1.3784995079040527
0,ST-SAM,-5,Color1_000295,Colour,0.8999350070953369,0.8180744051933289,0.9143638591988716,0.8859544913747642,7.565415382385254,1.4676584005355835
0,ST-SAM,-5,Color1_000380,Colour,0.8817285895347595,0.7884745597839355,0.8058002572695436,0.973454501856576,7.211102485656738,1.066309928894043
0,ST-SAM,-5,Color1_000821,Colour,0.930531919002533,0.870088517665863,0.9183635342950937,0.9430270475843032,2.0,0.43975991010665894
0,ST-SAM,-5,Color1_000503,Colour,0.9271919131278992,0.8642663359642029,0.8898641690339889,0.9677883845678743,4.4721360206604,1.3649046421051025
0,ST-SAM,-5,Color1_000154,Colour,0.8711867928504944,0.7717723250389099,0.7816247580693182,0.9839298755821938,5.089119911193848,0.7829258441925049
0,ST-SAM,-5,Color1_000779,Colour,0.9437685012817383,0.8935242295265198,0.9396927309531687,0.9478797223633092,3.0,0.8097228407859802
0,ST-SAM,-5,Color1_000409,Colour,0.9000102877616882,0.8181988000869751,0.9023313389353278,0.8977011493884359,8.080648422241211,2.417471170425415
0,ST-SAM,-5,Color1_000709,Colour,0.9435296058654785,0.8930960893630981,0.935141446795014,0.9520695989975105,5.602496147155762,1.0909252166748047
0,ST-SAM,-5,Color1_000046,Colour,0.9283788800239563,0.8663312792778015,0.9020952854948746,0.9562400844848968,4.123105525970459,0.5413364768028259
0,ST-SAM,-5,Color1_000247,Colour,0.9319736361503601,0.8726129531860352,0.9136860406217479,0.9510082728863742,2.2360680103302,0.6832218170166016
0,ST-SAM,-5,Color1_000607,Colour,0.9510915875434875,0.9067441821098328,0.9660882712242719,0.9365533607219548,4.123105525970459,0.7518033385276794
0,ST-SAM,-5,Color1_000355,Colour,0.8261736035346985,0.7038294672966003,0.7219776498126855,0.9655172413168456,17.0,3.6753475666046143
0,ST-SAM,-5,Color1_000193,Colour,0.9250922799110413,0.8606248497962952,0.9133808888521298,0.9371079297943454,4.123105525970459,1.025622010231018
0,ST-SAM,-5,Color1_000810,Colour,0.9233015775680542,0.8575303554534912,0.8856886696306524,0.9642508539575096,3.0,0.5543520450592041
0,ST-SAM,-5,Color1_000080,Colour,0.9132106304168701,0.8402829766273499,0.8780475863664914,0.9513074841695588,11.0,1.5746022462844849
0,ST-SAM,-5,Color1_000233,Colour,0.9252802133560181,0.860950231552124,0.8731842869222443,0.9839869047766004,3.1622776985168457,0.8905637860298157
0,ST-SAM,-5,Color1_000307,Colour,0.9353271126747131,0.8785111904144287,0.8874741538554937,0.9886346415824023,17.58938980102539,2.081350326538086
0,ST-SAM,-5,Color1_000715,Colour,0.8462244272232056,0.7334393858909607,0.8975260579619787,0.8004704037184034,14.866068840026855,3.910980224609375
0,ST-SAM,-5,Color1_000335,Colour,0.9335067868232727,0.8753049373626709,0.9271122811697571,0.9399901136460707,5.923915863037109,1.0603042840957642
0,ST-SAM,-5,Color1_000452,Colour,0.9259279370307922,0.8620724081993103,0.8976116302287007,0.9560889281101549,4.0,0.9088590741157532
0,ST-SAM,-5,Color1_000474,Colour,0.9117159247398376,0.8377554416656494,0.8528208744109435,0.9793488823307945,5.0,1.3049832582473755
0,ST-SAM,-5,Color1_000718,Colour,0.9358193874359131,0.8793802261352539,0.9563779526806001,0.9161261124667275,3.1622776985168457,1.1479889154434204
0,ST-SAM,-5,Color1_000694,Colour,0.8681279420852661,0.7669841051101685,0.7716384541187072,0.9921971251751789,13.928388595581055,1.9464972019195557
0,ST-SAM,-5,Color1_000056,Colour,0.9020891785621643,0.8216415643692017,0.8282278842610719,0.9904142415850263,5.830951690673828,1.425536870956421
0,ST-SAM,-5,Color1_000019,Colour,0.9435247182846069,0.8930873870849609,0.9104102961567062,0.9791390565464517,6.4031243324279785,1.411986231803894
0,ST-SAM,-5,Color1_000132,Colour,0.9056187272071838,0.8275166153907776,0.8319924277714832,0.9935410947042191,5.385164737701416,1.5061315298080444
0,ST-SAM,-5,Color1_000564,Colour,0.8709430694580078,0.7713898420333862,0.8340309751289177,0.9112737249231022,7.664392471313477,0.8234931826591492
0,ST-SAM,-5,Color1_000732,Colour,0.9313941597938538,0.8715975284576416,0.9011720445014345,0.9637137330008732,5.385164737701416,0.9024503827095032
0,ST-SAM,-5,Color1_000189,Colour,0.9260950684547424,0.862362265586853,0.8899976013005518,0.965244536890466,5.830951690673828,1.4390404224395752
0,ST-SAM,-5,Color1_000236,Colour,0.9074033498764038,0.8305017352104187,0.8469139143412406,0.9771981881965955,3.605551242828369,0.7160143852233887
0,ST-SAM,-5,Color1_000177,Colour,0.8888540267944336,0.7999435067176819,0.8238632229302391,0.9649765657464868,9.486832618713379,1.4045610427856445
0,ST-SAM,-5,Color1_000492,Colour,0.900629460811615,0.8192228078842163,0.8331954432105139,0.9799401196871302,5.0,1.482553243637085
0,ST-SAM,-5,Color1_000202,Colour,0.7843306660652161,0.6451842188835144,0.9111194683576382,0.6885183781083253,24.0,6.602203369140625
0,ST-SAM,-5,Color1_000196,Colour,0.9396207928657532,0.886117696762085,0.904396167035901,0.9777004586043927,12.369317054748535,1.691236138343811
0,ST-SAM,-5,Color1_000386,Colour,0.9245908856391907,0.8597573637962341,0.9088069271163036,0.9409328188299516,12.835315704345703,1.2680972814559937
0,ST-SAM,-5,Color1_000498,Colour,0.921891987323761,0.8551017045974731,0.8831934087248686,0.9641373028425948,7.4982991218566895,1.8421738147735596
0,ST-SAM,-5,Color1_000555,Colour,0.9138147830963135,0.8413065671920776,0.964109521400832,0.8685073051014661,6.0,1.4698634147644043
0,ST-SAM,-5,Color1_000786,Colour,0.9281005263328552,0.8658466339111328,0.8886185810448669,0.9712540423304884,8.5440034866333,1.1389985084533691
0,ST-SAM,-5,Color1_000124,Colour,0.9288389682769775,0.867132842540741,0.9266470008921684,0.9310412960945424,5.084164142608643,0.8082313537597656
0,ST-SAM,-5,Color1_000446,Colour,0.8927456140518188,0.806269645690918,0.8470700066625436,0.9436277562636335,11.609854698181152,2.1008083820343018
0,ST-SAM,-5,Color1_000133,Colour,0.9016766548156738,0.820957362651825,0.8376724520652344,0.9762707467613756,6.780758857727051,0.7094503045082092
