Fold,Model,Padding,Image_ID,Modality,Dice,HD95
0,ST-SAM,-5,Color1_000014,Colour,0.9056285619735718,9.848857879638672
0,ST-SAM,-5,Color1_000562,Colour,0.9544793367385864,5.0
0,ST-SAM,-5,Color1_000477,Colour,0.8712453842163086,19.92485809326172
0,ST-SAM,-5,Color1_000158,Colour,0.87455153465271,5.0
0,ST-SAM,-5,Color1_000684,Colour,0.8916938304901123,3.081138849258423
0,ST-SAM,-5,Color1_000018,Colour,0.9503002166748047,2.8284270763397217
0,ST-SAM,-5,Color1_000554,Colour,0.9330385327339172,4.123105525970459
0,ST-SAM,-5,Color1_000076,Colour,0.9275608062744141,8.246211051940918
0,ST-SAM,-5,Color1_000408,Colour,0.9075809717178345,3.605551242828369
0,ST-SAM,-5,Color1_000685,Colour,0.9260501861572266,3.0
0,ST-SAM,-5,Color1_000231,Colour,0.880372941493988,4.123105525970459
0,ST-SAM,-5,Color1_000590,Colour,0.9329053163528442,7.6157732009887695
0,ST-SAM,-5,Color1_000475,Colour,0.9021283984184265,2.0
0,ST-SAM,-5,Color1_000424,Colour,0.9235858917236328,6.0
0,ST-SAM,-5,Color1_000453,Colour,0.9216744303703308,5.385164737701416
0,ST-SAM,-5,Color1_000508,Colour,0.883404552936554,4.4721360206604
0,ST-SAM,-5,Color1_000029,Colour,0.9166737198829651,3.605551242828369
0,ST-SAM,-5,Color1_000465,Colour,0.9269834756851196,4.0
0,ST-SAM,-5,Color1_000381,Colour,0.9508167505264282,8.028013229370117
0,ST-SAM,-5,Color1_000109,Colour,0.915867269039154,6.11358642578125
0,ST-SAM,-5,Color1_000467,Colour,0.9074217081069946,6.7082037925720215
0,ST-SAM,-5,Color1_000066,Colour,0.8809404373168945,11.0
0,ST-SAM,-5,Color1_000295,Colour,0.8999350070953369,7.565415382385254
0,ST-SAM,-5,Color1_000380,Colour,0.8817285895347595,7.211102485656738
0,ST-SAM,-5,Color1_000821,Colour,0.930531919002533,2.0
0,ST-SAM,-5,Color1_000503,Colour,0.9271919131278992,4.4721360206604
0,ST-SAM,-5,Color1_000154,Colour,0.8711867928504944,5.089119911193848
0,ST-SAM,-5,Color1_000779,Colour,0.9437685012817383,3.0
0,ST-SAM,-5,Color1_000409,Colour,0.9000102877616882,8.080648422241211
0,ST-SAM,-5,Color1_000709,Colour,0.9435296058654785,5.602496147155762
0,ST-SAM,-5,Color1_000046,Colour,0.9283788800239563,4.123105525970459
0,ST-SAM,-5,Color1_000247,Colour,0.9319736361503601,2.2360680103302
0,ST-SAM,-5,Color1_000607,Colour,0.9510915875434875,4.123105525970459
0,ST-SAM,-5,Color1_000355,Colour,0.8261736035346985,17.0
0,ST-SAM,-5,Color1_000193,Colour,0.9250922799110413,4.123105525970459
0,ST-SAM,-5,Color1_000810,Colour,0.9233015775680542,3.0
0,ST-SAM,-5,Color1_000080,Colour,0.9132106304168701,11.0
0,ST-SAM,-5,Color1_000233,Colour,0.9252802133560181,3.1622776985168457
0,ST-SAM,-5,Color1_000307,Colour,0.9353271126747131,17.58938980102539
0,ST-SAM,-5,Color1_000715,Colour,0.8462244272232056,14.866068840026855
0,ST-SAM,-5,Color1_000335,Colour,0.9335067868232727,5.923915863037109
0,ST-SAM,-5,Color1_000452,Colour,0.9259279370307922,4.0
0,ST-SAM,-5,Color1_000474,Colour,0.9117159247398376,5.0
0,ST-SAM,-5,Color1_000718,Colour,0.9358193874359131,3.1622776985168457
0,ST-SAM,-5,Color1_000694,Colour,0.8681279420852661,13.928388595581055
0,ST-SAM,-5,Color1_000056,Colour,0.9020891785621643,5.830951690673828
0,ST-SAM,-5,Color1_000019,Colour,0.9435247182846069,6.4031243324279785
0,ST-SAM,-5,Color1_000132,Colour,0.9056187272071838,5.385164737701416
0,ST-SAM,-5,Color1_000564,Colour,0.8709430694580078,7.664392471313477
0,ST-SAM,-5,Color1_000732,Colour,0.9313941597938538,5.385164737701416
0,ST-SAM,-5,Color1_000189,Colour,0.9260950684547424,5.830951690673828
0,ST-SAM,-5,Color1_000236,Colour,0.9074033498764038,3.605551242828369
0,ST-SAM,-5,Color1_000177,Colour,0.8888540267944336,9.486832618713379
0,ST-SAM,-5,Color1_000492,Colour,0.900629460811615,5.0
0,ST-SAM,-5,Color1_000202,Colour,0.7843306660652161,24.0
0,ST-SAM,-5,Color1_000196,Colour,0.9396207928657532,12.369317054748535
0,ST-SAM,-5,Color1_000386,Colour,0.9245908856391907,12.835315704345703
